lüh	165
Här	137
Wäs	60
eßp	37
Küt	60
püt	3
.ä.	1
zür	22
aßv	6
Töt	98
ußf	25
füß	114
ußk	43
bäg	4
 Üm	3
Wöl	201
lße	24
häc	74
töb	11
Däu	22
Mäu	49
Wüg	1
Hür	183
däb	1
Sär	16
Säp	3
 Äd	26
ußr	10
Wäc	63
rül	55
säb	9
Fül	154
rör	56
 Ä.	32
Gäu	17
Gül	79
mät	5
oßo	44
Eöt	10
säq	7
töp	25
Löh	85
Näg	33
nän	17
Häh	27
bör	71
köc	12
 Üs	2
uöh	1
dät	48
aßr	13
ußv	20
Dül	28
Gür	199
Rüb	36
Töb	1
 äq	29
mön	89
ißd	30
kät	7
töz	3
KÖ 	5
löh	58
Hüp	4
 äs	59
yör	18
röb	123
näe	29
uäk	20
Zög	38
fök	1
ußn	27
hüf	14
kük	4
Fän	18
Kük	14
lüm	55
jör	121
Köt	38
ißb	66
döf	9
Fäu	10
Büg	27
oßa	141
Käp	6
Züb	9
Böc	71
eßi	9
füt	47
 üp	28
Täb	50
Röd	60
ußl	45
Köc	101
aßz	2
 Öe	1
züc	138
ißs	21
Näm	5
 Öd	36
göd	102
Zöl	34
güe	37
Kät	66
Vöm	1
lön	39
Zöp	7
wät	15
Mäß	6
löw	13
tüp	4
Lög	17
 ÖW	11
Cäl	1
Hüs	49
dül	9
 äg	103
Köd	17
Wüm	37
Bäs	11
nün	24
VÖE	3
Böl	42
Güe	6
uäd	8
 Äc	37
köt	22
Tül	20
 Öt	22
mäk	26
Väi	2
Büt	119
eüs	10
Läh	16
Lüs	21
häg	11
Dön	21
Nüc	9
nß 	4
 ÖT	5
rße	7
Küf	23
wüt	83
täk	1
hög	52
Löd	5
väg	17
Väs	40
jär	23
hüi	1
döl	98
höw	3
göl	7
Häm	111
Zäs	18
iäm	8
Päs	77
nöc	38
köl	83
Wüh	32
pöe	1
häe	63
Rül	33
iäv	15
Sä 	1
vää	1
hüz	1
aßa	5
aßm	11
Düp	8
böe	12
Föh	29
Täl	186
Füc	24
rük	1
düt	11
müd	73
höb	13
Köf	9
 äo	3
Löß	4
Tüm	24
föh	11
Näs	7
häh	21
Jöb	5
tök	11
Röh	173
näi	4
dök	8
eöl	6
Süp	6
häm	64
kär	35
töf	28
töv	6
BÖ 	2
PÖ,	9
Büf	14
löp	9
Bäl	32
Wü 	1
Röß	21
hüj	1
 Öh	84
jäl	7
Rör	10
küp	8
eßh	8
Nös	4
 Öp	2
lö 	1
lüv	16
Bök	8
eßn	34
jök	4
Köö	6
düü	1
söö	2
Räh	2
däe	3
däi	8
Küg	5
eäh	10
GÜP	1
 Äp	20
wöb	10
yöv	1
väs	17
lä,	9
lä.	11
Büy	12
hüh	17
gäm	5
zäm	11
müp	3
näx	4
Zül	51
aüb	1
pää	22
Löf	42
Cöl	59
Köb	20
näb	10
Rüe	12
 Ät	80
hün	40
bäd	34
